"Id","MSSubClass","LotFrontage","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SalePrice","Neighborhood"
1,60,0.65,84.5,7,5,2003,2003,196,7.06,0,1.5,8.56,856,854,0,17.1,1,0,2,1,3,1,8,0,2003,2,5.48,0,0.61,0,0,0,0,0,2,2008,208500,"CollgCr"
2,20,0.8,96,6,8,1976,1976,0,9.78,0,2.84,12.62,1262,0,0,12.62,0,1,2,0,3,1,6,1,1976,2,4.6,2.98,0,0,0,0,0,0,5,2007,181500,"Veenker"
3,60,0.68,112.5,7,5,2001,2002,162,4.86,0,4.34,9.2,920,866,0,17.86,1,0,2,1,3,1,6,1,2001,2,6.08,0,0.42,0,0,0,0,0,9,2008,223500,"CollgCr"
4,70,0.6,95.5,7,5,1915,1970,0,2.16,0,5.4,7.56,961,756,0,17.17,1,0,1,0,3,1,7,1,1998,3,6.42,0,0.35,2.72,0,0,0,0,2,2006,140000,"Crawfor"
5,60,0.84,142.6,8,5,2000,2000,350,6.55,0,4.9,11.45,1145,1053,0,21.98,1,0,2,1,4,1,9,1,2000,3,8.36,1.92,0.84,0,0,0,0,0,12,2008,250000,"NoRidge"
6,50,0.85,141.15,5,5,1993,1995,0,7.32,0,0.64,7.96,796,566,0,13.62,1,0,1,1,1,1,5,0,1993,2,4.8,0.4,0.3,0,320,0,0,700,10,2009,143000,"Mitchel"
7,20,0.75,100.84,8,5,2004,2005,186,13.69,0,3.17,16.86,1694,0,0,16.94,1,0,2,0,3,1,7,1,2004,2,6.36,2.55,0.57,0,0,0,0,0,8,2007,307000,"Somerst"
8,60,0.69,103.82,7,6,1973,1973,240,8.59,0.32,2.16,11.07,1107,983,0,20.9,1,0,2,1,3,1,7,2,1973,2,4.84,2.35,2.04,2.28,0,0,0,350,11,2009,200000,"NWAmes"
9,50,0.51,61.2,7,5,1931,1950,0,0,0,9.52,9.52,1022,752,0,17.74,0,0,2,0,2,2,8,2,1931,2,4.68,0.9,0,2.05,0,0,0,0,4,2008,129900,"OldTown"
10,190,0.5,74.2,5,6,1939,1950,0,8.51,0,1.4,9.91,1077,0,0,10.77,1,0,1,0,2,2,5,2,1939,1,2.05,0,0.04,0,0,0,0,0,1,2008,118000,"BrkSide"
